name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number,Column 45,Column 46,Column 47
#Low-Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules,Hercules7s,Combat Superfreighter,Low Tech,additional_missile_loaders7s,23,22000,800,12000,8750,300,180,2,15,8,4,4,2,6500,OMNI,,120,0.35,1,,,400,1200,2000,600,11,60,6,300000,4,20,720,0.25,40,40,,"hegemony, luddic_church, merc, ind, rare_bp, persean_league, sindrian_diktat",,0.4,1,4,,,,
Trampler,trampler7s,Cruiser,Low Tech,fluxdrive7s,16,8000,1000,10000,8000,600,135,,70,60,50,30,45,1800,FRONT,,210,0.4,0.9,,,100,130,100,120,4,30,9,110000,4,12,480,0.25,22,22,COMBAT,"hegemony, lowtech_bp, luddic_church",,0.5,1,4,,,,
Accoster,Accoster7s,Destroyer,Low Tech,gamma_array7s,15,5000,750,5000,4167,250,80,,50,70,50,30,50,700,OMNI,,60,0.2,1.2,,,50,80,80,50,2,25,9,45000,5,12,420,0.25,12,12,,"rare_bp, merc, ind",,0.4,1,5,,,,
Direhound,hound7s,Heavy Corvette,Low Tech,canister_flak,4,2000,500,1250,1250,100,40,1,140,120,80,90,120,200,NONE,,0,0,0,,,10,40,50,30,1,30,10,10000,5,10,240,0.25,4,4,COMBAT,"hegemony, lowtech_bp, luddic_church, merc, ind",,0.5,1,2,,,,
Talon (M),automated_talon7s,,Low Tech,,,200,25,400,,100,0,,325,400,300,150,300,10,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Midline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarantula,tarantula7s,Light Cruiser,Midline,interceptburn7s,12,7500,750,7500,,750,120,,60,75,60,45,50,1800,OMNI,,180,0.25,0.75,,,150,300,125,200,2.5,35,9,110000,3,12,420,0.25,20,20,COMBAT,"midline, persean, rare_bp, merc, ind",,0.4,2,4,,,,
Sandshark,sandshark7s,Salvaged Destroyer,Midline,fire_order7s,15,5000,500,4200,4167,250,85,1,90,60,40,30,60,500,FRONT,,300,0.4,0.8,,,50,100,100,60,2,30,9,55000,5,12,360,0.25,12,12,,"midline, persean, rare_bp, merc, ind",,0.6,1,5,,,,
Wayfarer (M),wayfarer7s,Frigate,Midline,maneuveringjets,6,2250,400,2500,1500,200,55,,130,105,70,45,90,300,OMNI,,180,0.3,0.75,,,35,50,90,40,1,30,10,17000,8,10,240,0.25,6,6,,"rare_bp, persean_league, sindrian_diktat,midline_bp, merc, ind",,0.4,1,4,,,,
Vespa,Vespa7s,Frigate,Midline,entropy_field7s,5,1000,200,2500,2500,200,45,,155,140,100,100,260,350,FRONT,,360,0.3,0.7,,,15,30,40,20,1,20,10,18000,12,15,240,0.25,7,7,,"rare_bp,persean_league, sindrian_diktat,midline_bp, merc, ind",,0.5,1,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quasar,Quasar7s,Battleship,High Tech,quasar_surge7s,30,18000,1500,22000,31250,1250,340,,40,25,10,7,5,4300,OMNI,,360,0.6,0.6,,,350,400,300,300,10,30,7,600000,4,20,720,0.25,60,60,,"rare_bp, hist3t, merc, tritachyon",,0.4,1,4,,,,
Strider,Strider7s,Heavy Destroyer,High Tech,hypercharge7s,11,4000,450,6000,,500,95,,75,75,45,50,80,400,FRONT,,210,0.3,0.55,,,40,60,50,40,2,20,9,40000,5,15,360,0.25,12,12,,"rare_bp, merc, ind, tritachyon, sindrian_diktat, hightech_bp",,0.4,1,4,,,,
Elipsion,elipsion7s,Destroyer,High Tech,fortressshield,12,5000,400,8500,,500,85,,70,70,55,35,45,1000,OMNI,,180,0.3,0.65,,,35,80,40,60,2,30,9,60000,5,15,300,0.25,12,12,COMBAT,"tritachyon,rare_bp, no_autofit, sindrian_diktat, hightech_bp",,0.6,1,6,,,,
Glider,Glider7s,Cruiser,High Tech,singularity_mines7s,16,8000,900,8500,,700,135,,65,35,20,20,25,2000,FRONT,,270,0.4,0.7,,,75,150,120,90,3,30,8,125000,5,15,480,0.25,30,30,,"rare_bp, merc, ind, tritachyon, hightech_bp",,0.4,1,4,,,,
Saltare,Saltare7s,Frigate,High Tech,phase_transition7s,8,1800,125,1500,3125,200,36,,150,120,100,60,120,250,OMNI,,240,0.4,0.6,,,20,35,40,20,1,20,10,35000,5,15,210,0.25,8,8,,"rare_bp, hist1t, merc, ind, tritachyon, persean_league",,0.4,1,4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Cryptic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stella Tempestas,Stella_Tempestas7s,Neoteric Battleship,Cryptic,tempestas_cloak7s,120,12000,1500,14000,,1700,300,,40,60,25,14,18,5500,OMNI,,270,0.25,0.7,,,300,450,250,550,9,30,9,1000000,3,15,720,0.25,75,75,HIDE_IN_CODEX,"no_autofit, no_bp_drop, restricted, no_dealer, special_allows_system_use, system_allows_special_use",,0.3,0,1,,,,
Afflictor,Afflictor7s,Frigate,Cryptic,plasmajets,30,1800,450,3000,5000,400,55,,120,120,100,80,140,200,PHASE,entropy_damper7s,90,,,,,5,10,25,50,1,50,10,120000,10,20,210,0.25,15,15,HIDE_IN_CODEX,"no_auto_penalty, no_autofit, no_bp_drop, restricted, no_dealer, special_allows_system_use, system_allows_special_use",,0.3,0,1,,,,
Doom,Doom7s,Cruiser,Cryptic,phase_attractor7s,50,8000,1400,7000,,750,125,,70,70,55,30,35,1200,PHASE,entropy_damper7s,,,,,,50,100,120,150,3,50,8,250000,4,30,560,0.25,45,45,HIDE_IN_CODEX,"no_auto_penalty, no_autofit, no_bp_drop, restricted, no_dealer, special_allows_system_use, system_allows_special_use",,0.3,0,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singularity Mine,Singularity_mine7s,Mine,High Tech,,,1350,100,7777,,777,0,,0,200,200,45,30,200,NONE,,,,,,,0,0,0,0,0,0,8,0,0,0,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, no_drop, no_bp_drop, restricted, no_dealer, special_allows_system_use, system_allows_special_use, module_no_status_bar",,1,3,5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Mayawati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayawati,Mayawati7s,Neoteric Frigate,Cryptic,illusiaskimmer7s,15,900,300,4500,,77,21,,150,375,375,150,210,200,PHASE,paradox7s,,,,0.05,0.025,20,30,20,40,0.5,30,12,250000,15,30,240,0.25,15,15,"HIDE_IN_CODEX, SHIP_WITH_MODULES","no_autofit, no_bp_drop, restricted, no_dealer, special_allows_system_use, system_allows_special_use",,0.3,0,1,,,,
Mayawati,Mayawati7s_no_recovery,Neoteric Frigate,Cryptic,illusiaskimmer7s,15,900,300,4500,,77,21,,150,375,375,150,210,200,PHASE,paradox7s,,,,0.05,0.025,20,30,20,40,0.5,30,12,250000,15,30,,,15,15,"HIDE_IN_CODEX, SHIP_WITH_MODULES, UNBOARDABLE","no_autofit, no_bp_drop, restricted, no_dealer, special_allows_system_use, system_allows_special_use",,0.3,0,1,,,,
Clone Mayawati,Mayawati7s_clone,Illusion,Cryptic,Clonesmoking7s,15,3000,300,7777,,777,21,,240,250,0,100,180,200,NONE,,,,,,,0,0,0,0,0,0,8,0,0,0,13.5,100,0,0,HIDE_IN_CODEX,"no_autofit, no_drop, no_bp_drop, restricted, no_dealer",,0.3,0,1,,,,
Phase Dilatator,Mayawati_Bay,,,orbspawn7s,1,10000,10000,10000,,1000,0,,0,0,0,10,10,10,NONE,,,,,,,0,0,0,0,1,0,,,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX","module_hull_bar_only, module_no_status_bar",,0,0,1,,,,
Illusia Core,Mayawati_Bay_2,,,orbspawn7s_2,1,10000,10000,10000,,1000,0,,0,0,0,40,10,10,NONE,,,,,,,0,0,0,0,1,0,,,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX","module_hull_bar_only, module_no_status_bar",,0,0,1,,,,
Mayawati,Mayawati_orb,Tangible Illusion,,fakemaneuvjets7s,1,20000,200,10000,,1000,0,,140,200,0,120,40,10,NONE,,,,,,,0,0,0,0,1,0,,,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, no_drop, no_bp_drop, restricted, no_dealer, special_allows_system_use, system_allows_special_use, module_hull_bar_only, module_no_status_bar",,0,0,1,,,,
Mayawati,Mayawati_orb2,Tangible Illusion,,fakemaneuvjets7s,1,20000,200,10000,,1000,0,,140,200,0,120,40,10,NONE,,,,,,,0,0,0,0,1,0,,,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, no_drop, no_bp_drop, restricted, no_dealer, special_allows_system_use, system_allows_special_use, module_hull_bar_only, module_no_status_bar",,0,0,1,,,,
